order_id,order_date,business_unit,destination_country,supplier,product_id,product_name,product_category,quantity_ordered,quantity_delivered,unit_price_eur,promised_delivery_date,actual_delivery_date,status,priority,shipping_mode,snapshot_date
ORD-2026-000016,2026-01-05,IBERIA,Spain,Dune Personal Care,SKU-0070,Fiorenne Discovery Set 5x10ml Intense,Gift Set,168,168,16.19,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000017,2026-01-05,UK_IRELAND,United Kingdom,Cedar Fragrance Works,SKU-0033,Cendora Fragrance Gift Set 3pc Intense,Gift Set,744,744,66.72,2026-02-04,2026-02-03,Delivered,Normal,Road,2026-09-12
ORD-2026-000018,2026-01-05,IBERIA,Portugal,Aster Manufacturing,SKU-0079,Galenza Eau de Parfum 50ml Intense,Fragrance,60,60,32.96,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000019,2026-01-05,LATAM,Mexico,Aster Manufacturing,SKU-0067,Fiorenne Eau de Parfum 50ml Intense,Fragrance,48,48,31.79,2026-02-24,2026-03-16,Delivered,Normal,Sea,2026-09-12
ORD-2026-000020,2026-01-05,NORTH_AMERICA,United States,Fenn Packaging & Assembly,SKU-0012,Aureva Face Serum 30ml Intense,Skin Care,1272,1272,20.51,2026-02-12,2026-02-10,Delivered,High,Sea,2026-09-12
ORD-2026-000021,2026-01-05,ITALY,Italy,Aster Manufacturing,SKU-0025,Cendora Eau de Parfum 50ml Classic,Fragrance,360,360,33.26,2026-01-26,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000022,2026-01-05,LATAM,Mexico,Elara Beauty Labs,SKU-0047,Dorevia Body Lotion 200ml Intense,Body Care,924,924,4.37,2026-01-20,2026-01-20,Delivered,High,Air,2026-09-12
ORD-2026-000023,2026-01-05,DACH,Switzerland,Dune Personal Care,SKU-0028,Cendora Discovery Set 5x10ml Classic,Gift Set,108,108,18.22,2026-02-03,2026-02-17,Delivered,Normal,Road,2026-09-12
ORD-2026-000024,2026-01-05,NORTH_AMERICA,Canada,Bellora Cosmetics,SKU-0086,Heloria Eau de Toilette 100ml Classic,Fragrance,84,84,25.53,2026-02-16,2026-02-19,Delivered,Normal,Sea,2026-09-12
ORD-2026-000025,2026-01-05,NORTH_AMERICA,United States,Fenn Packaging & Assembly,SKU-0048,Dorevia Face Serum 30ml Intense,Skin Care,1368,1368,9.39,2026-02-16,2026-03-23,Delivered,Normal,Sea,2026-09-12
ORD-2026-000026,2026-01-05,NORTH_AMERICA,United States,Aster Manufacturing,SKU-0031,Cendora Eau de Parfum 50ml Intense,Fragrance,132,132,23.85,2026-02-13,2026-02-20,Delivered,Normal,Sea,2026-09-12
ORD-2026-000027,2026-01-05,NORTH_AMERICA,United States,Dune Personal Care,SKU-0118,Jovira Discovery Set 5x10ml Intense,Gift Set,948,948,21.09,2026-02-20,2026-02-20,Delivered,Normal,Sea,2026-09-12
ORD-2026-000028,2026-01-05,ITALY,Italy,Dune Personal Care,SKU-0118,Jovira Discovery Set 5x10ml Intense,Gift Set,636,636,21.09,2026-01-23,2026-02-23,Delivered,High,Road,2026-09-12
ORD-2026-000029,2026-01-05,LATAM,Mexico,Cedar Fragrance Works,SKU-0027,Cendora Fragrance Gift Set 3pc Classic,Gift Set,72,72,55.73,2026-02-26,2026-03-17,Delivered,Normal,Sea,2026-09-12
ORD-2026-000030,2026-01-05,DACH,Switzerland,Fenn Packaging & Assembly,SKU-0018,Briselle Face Serum 30ml Classic,Skin Care,528,528,12.77,2026-01-19,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000031,2026-01-05,DACH,Germany,Cedar Fragrance Works,SKU-0069,Fiorenne Fragrance Gift Set 3pc Intense,Gift Set,204,204,57.26,2026-01-28,2026-01-26,Delivered,High,Road,2026-09-12
ORD-2026-000032,2026-01-05,DACH,Germany,Fenn Packaging & Assembly,SKU-0054,Elunora Face Serum 30ml Classic,Skin Care,72,72,12.57,2026-01-19,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000033,2026-01-05,ITALY,Italy,Aster Manufacturing,SKU-0049,Elunora Eau de Parfum 50ml Classic,Fragrance,108,108,24.15,2026-01-22,2026-01-22,Delivered,Normal,Road,2026-09-12
ORD-2026-000034,2026-01-05,NORTH_AMERICA,United States,Elara Beauty Labs,SKU-0101,Isavelle Body Lotion 200ml Classic,Body Care,708,708,11.82,2026-02-09,2026-02-09,Delivered,Normal,Sea,2026-09-12
ORD-2026-000035,2026-01-05,UK_IRELAND,United Kingdom,Fenn Packaging & Assembly,SKU-0054,Elunora Face Serum 30ml Classic,Skin Care,552,552,12.57,2026-01-23,2026-01-23,Delivered,Normal,Road,2026-09-12
ORD-2026-000036,2026-01-05,NORTH_AMERICA,United States,Aster Manufacturing,SKU-0025,Cendora Eau de Parfum 50ml Classic,Fragrance,132,132,33.26,2026-02-09,2026-02-16,Delivered,Normal,Sea,2026-09-12
ORD-2026-000037,2026-01-05,DACH,Austria,Cedar Fragrance Works,SKU-0093,Heloria Fragrance Gift Set 3pc Intense,Gift Set,648,648,59.41,2026-02-02,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000038,2026-01-05,FRANCE,France,Elara Beauty Labs,SKU-0101,Isavelle Body Lotion 200ml Classic,Body Care,48,48,12.19,2026-01-15,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000039,2026-01-05,IBERIA,Spain,Fenn Packaging & Assembly,SKU-0030,Cendora Face Serum 30ml Classic,Skin Care,60,60,21.03,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000040,2026-01-05,ITALY,Italy,Aster Manufacturing,SKU-0037,Dorevia Eau de Parfum 50ml Classic,Fragrance,144,144,34.08,2026-01-21,2026-01-21,Delivered,Normal,Road,2026-09-12
ORD-2026-000041,2026-01-05,UK_IRELAND,United Kingdom,Cedar Fragrance Works,SKU-0057,Elunora Fragrance Gift Set 3pc Intense,Gift Set,732,732,61.55,2026-01-28,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000042,2026-01-05,FRANCE,France,Dune Personal Care,SKU-0070,Fiorenne Discovery Set 5x10ml Intense,Gift Set,120,0,16.19,2026-01-23,,Cancelled,Normal,Road,2026-09-12
ORD-2026-000043,2026-01-05,LATAM,Mexico,Elara Beauty Labs,SKU-0083,Galenza Body Lotion 200ml Intense,Body Care,564,564,8.83,2026-02-25,2026-02-25,Delivered,Normal,Sea,2026-09-12
ORD-2026-000044,2026-01-05,DACH,Germany,Bellora Cosmetics,SKU-0032,Cendora Eau de Toilette 100ml Intense,Fragrance,84,84,26.72,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000045,2026-01-05,MIDDLE_EAST,United Arab Emirates,Cedar Fragrance Works,SKU-0063,Fiorenne Fragrance Gift Set 3pc Classic,Gift Set,468,468,48.55,2026-02-16,2026-03-09,Delivered,Normal,Sea,2026-09-12
ORD-2026-000046,2026-01-05,IBERIA,Spain,Aster Manufacturing,SKU-0067,Fiorenne Eau de Parfum 50ml Intense,Fragrance,312,0,31.79,2026-01-23,,Cancelled,Normal,Road,2026-09-12
ORD-2026-000047,2026-01-05,IBERIA,Portugal,Elara Beauty Labs,SKU-0011,Aureva Body Lotion 200ml Intense,Body Care,36,36,4.65,2026-01-19,2026-01-19,Delivered,High,Road,2026-09-12
ORD-2026-000048,2026-01-05,NORTH_AMERICA,United States,Dune Personal Care,SKU-0040,Dorevia Discovery Set 5x10ml Classic,Gift Set,1500,1500,26.12,2026-02-16,2026-02-13,Delivered,Normal,Sea,2026-09-12
ORD-2026-000049,2026-01-05,ITALY,Italy,Bellora Cosmetics,SKU-0026,Cendora Eau de Toilette 100ml Classic,Fragrance,108,108,28.42,2026-01-26,2026-01-30,Delivered,Normal,Road,2026-09-12
ORD-2026-000050,2026-01-05,ITALY,Italy,Bellora Cosmetics,SKU-0056,Elunora Eau de Toilette 100ml Intense,Fragrance,336,336,28.64,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000051,2026-01-05,FRANCE,France,Fenn Packaging & Assembly,SKU-0054,Elunora Face Serum 30ml Classic,Skin Care,780,780,12.19,2026-01-21,2026-01-21,Delivered,Normal,Road,2026-09-12
ORD-2026-000052,2026-01-05,DACH,Austria,Bellora Cosmetics,SKU-0014,Briselle Eau de Toilette 100ml Classic,Fragrance,120,120,37.62,2026-01-23,2026-01-23,Delivered,Normal,Road,2026-09-12
ORD-2026-000053,2026-01-05,UK_IRELAND,United Kingdom,Fenn Packaging & Assembly,SKU-0018,Briselle Face Serum 30ml Classic,Skin Care,48,48,12.77,2026-01-23,2026-01-22,Delivered,Normal,Road,2026-09-12
ORD-2026-000054,2026-01-05,IBERIA,Portugal,Dune Personal Care,SKU-0094,Heloria Discovery Set 5x10ml Intense,Gift Set,144,144,29.50,2026-01-26,2026-01-27,Delivered,Normal,Road,2026-09-12
ORD-2026-000055,2026-01-05,IBERIA,Spain,Aster Manufacturing,SKU-0085,Heloria Eau de Parfum 50ml Classic,Fragrance,144,144,29.89,2026-01-16,2026-01-14,Delivered,Normal,Road,2026-09-12
ORD-2026-000056,2026-01-05,ITALY,Italy,Dune Personal Care,SKU-0052,Elunora Discovery Set 5x10ml Classic,Gift Set,84,84,22.78,2026-02-02,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000057,2026-01-05,LATAM,Mexico,Bellora Cosmetics,SKU-0116,Jovira Eau de Toilette 100ml Intense,Fragrance,420,420,29.97,2026-02-16,2026-03-02,Delivered,Normal,Sea,2026-09-12
ORD-2026-000058,2026-01-05,NORTH_AMERICA,Canada,Elara Beauty Labs,SKU-0101,Isavelle Body Lotion 200ml Classic,Body Care,120,120,12.19,2026-02-11,2026-02-11,Delivered,Normal,Sea,2026-09-12
ORD-2026-000059,2026-01-05,NORTH_AMERICA,Canada,Dune Personal Care,SKU-0070,Fiorenne Discovery Set 5x10ml Intense,Gift Set,672,672,15.70,2026-02-19,2026-02-19,Delivered,Normal,Sea,2026-09-12
ORD-2026-000060,2026-01-05,DACH,Switzerland,Cedar Fragrance Works,SKU-0003,Aureva Fragrance Gift Set 3pc Classic,Gift Set,516,516,34.22,2026-01-29,2026-01-29,Delivered,Normal,Road,2026-09-12
ORD-2026-000061,2026-01-05,ITALY,Italy,Aster Manufacturing,SKU-0019,Briselle Eau de Parfum 50ml Intense,Fragrance,48,48,44.13,2026-01-20,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000062,2026-01-05,DACH,Switzerland,Bellora Cosmetics,SKU-0074,Galenza Eau de Toilette 100ml Classic,Fragrance,120,120,45.79,2026-01-27,2026-01-29,Delivered,Normal,Road,2026-09-12
ORD-2026-000063,2026-01-05,ITALY,Italy,Fenn Packaging & Assembly,SKU-0024,Briselle Face Serum 30ml Intense,Skin Care,192,192,16.67,2026-01-22,2026-01-22,Delivered,Normal,Road,2026-09-12
ORD-2026-000064,2026-01-05,UK_IRELAND,United Kingdom,Aster Manufacturing,SKU-0037,Dorevia Eau de Parfum 50ml Classic,Fragrance,576,576,34.08,2026-01-22,2026-02-04,Delivered,Normal,Road,2026-09-12
ORD-2026-000065,2026-01-05,DACH,Austria,Cedar Fragrance Works,SKU-0099,Isavelle Fragrance Gift Set 3pc Classic,Gift Set,624,624,61.96,2026-02-04,2026-02-10,Delivered,Normal,Road,2026-09-12
ORD-2026-000066,2026-01-05,LATAM,Mexico,Aster Manufacturing,SKU-0061,Fiorenne Eau de Parfum 50ml Classic,Fragrance,60,60,34.63,2026-02-23,2026-02-20,Delivered,Normal,Sea,2026-09-12
ORD-2026-000067,2026-01-05,DACH,Austria,Elara Beauty Labs,SKU-0053,Elunora Body Lotion 200ml Classic,Body Care,816,816,11.87,2026-01-21,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000068,2026-01-05,LATAM,Brazil,Aster Manufacturing,SKU-0097,Isavelle Eau de Parfum 50ml Classic,Fragrance,312,312,41.27,2026-02-19,2026-02-19,Delivered,Normal,Sea,2026-09-12
ORD-2026-000069,2026-01-05,DACH,Germany,Dune Personal Care,SKU-0088,Heloria Discovery Set 5x10ml Classic,Gift Set,84,84,16.91,2026-02-02,2026-02-04,Delivered,Normal,Road,2026-09-12
ORD-2026-000070,2026-01-05,UK_IRELAND,United Kingdom,Bellora Cosmetics,SKU-0026,Cendora Eau de Toilette 100ml Classic,Fragrance,624,624,27.57,2026-01-30,2026-01-30,Delivered,Normal,Road,2026-09-12
ORD-2026-000071,2026-01-05,NORTH_AMERICA,United States,Dune Personal Care,SKU-0016,Briselle Discovery Set 5x10ml Classic,Gift Set,1224,1224,23.62,2026-02-19,2026-03-19,Delivered,High,Sea,2026-09-12
ORD-2026-000072,2026-01-05,NORTH_AMERICA,United States,Fenn Packaging & Assembly,SKU-0018,Briselle Face Serum 30ml Classic,Skin Care,180,180,12.77,2026-02-16,2026-02-17,Delivered,Normal,Sea,2026-09-12
ORD-2026-000073,2026-01-05,ITALY,Italy,Elara Beauty Labs,SKU-0041,Dorevia Body Lotion 200ml Classic,Body Care,468,468,7.98,2026-01-22,2026-03-03,Delivered,Normal,Road,2026-09-12
ORD-2026-000074,2026-01-05,UK_IRELAND,United Kingdom,Aster Manufacturing,SKU-0001,Aureva Eau de Parfum 50ml Classic,Fragrance,72,0,26.58,2026-01-27,,Cancelled,Normal,Road,2026-09-12
ORD-2026-000075,2026-01-05,ITALY,Italy,Fenn Packaging & Assembly,SKU-0072,Fiorenne Face Serum 30ml Intense,Skin Care,60,60,23.43,2026-01-23,2026-01-23,Delivered,Normal,Road,2026-09-12
ORD-2026-000076,2026-01-05,IBERIA,Portugal,Fenn Packaging & Assembly,SKU-0114,Jovira Face Serum 30ml Classic,Skin Care,48,48,18.68,2026-01-20,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000077,2026-01-05,UK_IRELAND,United Kingdom,Dune Personal Care,SKU-0016,Briselle Discovery Set 5x10ml Classic,Gift Set,276,276,25.40,2026-02-02,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000078,2026-01-05,UK_IRELAND,United Kingdom,Elara Beauty Labs,SKU-0005,Aureva Body Lotion 200ml Classic,Body Care,108,108,8.11,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000079,2026-01-05,IBERIA,Portugal,Aster Manufacturing,SKU-0037,Dorevia Eau de Parfum 50ml Classic,Fragrance,180,180,34.08,2026-01-16,2026-01-15,Delivered,Normal,Road,2026-09-12
ORD-2026-000080,2026-01-05,MIDDLE_EAST,Saudi Arabia,Cedar Fragrance Works,SKU-0045,Dorevia Fragrance Gift Set 3pc Intense,Gift Set,156,156,47.57,2026-01-29,2026-02-04,Delivered,High,Air,2026-09-12
ORD-2026-000081,2026-01-05,NORTH_AMERICA,United States,Aster Manufacturing,SKU-0103,Isavelle Eau de Parfum 50ml Intense,Fragrance,84,84,39.76,2026-02-09,2026-03-02,Delivered,Normal,Sea,2026-09-12
ORD-2026-000082,2026-01-05,FRANCE,France,Fenn Packaging & Assembly,SKU-0006,Aureva Face Serum 30ml Classic,Skin Care,468,468,14.98,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000083,2026-01-05,NORTH_AMERICA,United States,Bellora Cosmetics,SKU-0032,Cendora Eau de Toilette 100ml Intense,Fragrance,60,60,26.72,2026-02-09,2026-02-09,Delivered,Normal,Sea,2026-09-12
ORD-2026-000084,2026-01-05,LATAM,Chile,Bellora Cosmetics,SKU-0026,Cendora Eau de Toilette 100ml Classic,Fragrance,276,276,28.42,2026-02-23,2026-03-06,Delivered,Normal,Sea,2026-09-12
ORD-2026-000085,2026-01-05,DACH,Germany,Bellora Cosmetics,SKU-0056,Elunora Eau de Toilette 100ml Intense,Fragrance,48,48,28.64,2026-01-23,2026-01-23,Delivered,Normal,Road,2026-09-12
ORD-2026-000086,2026-01-05,NORTH_AMERICA,United States,Bellora Cosmetics,SKU-0104,Isavelle Eau de Toilette 100ml Intense,Fragrance,72,72,37.17,2026-02-09,2026-02-09,Delivered,Normal,Sea,2026-09-12
ORD-2026-000087,2026-01-05,FRANCE,France,Dune Personal Care,SKU-0022,Briselle Discovery Set 5x10ml Intense,Gift Set,60,60,15.64,2026-01-26,2026-02-04,Delivered,Normal,Road,2026-09-12
ORD-2026-000088,2026-01-05,IBERIA,Spain,Dune Personal Care,SKU-0070,Fiorenne Discovery Set 5x10ml Intense,Gift Set,420,420,16.19,2026-01-26,2026-02-09,Delivered,Normal,Road,2026-09-12
ORD-2026-000089,2026-01-05,FRANCE,France,Bellora Cosmetics,SKU-0002,Aureva Eau de Toilette 100ml Classic,Fragrance,564,564,40.55,2026-01-23,2026-01-28,Delivered,High,Road,2026-09-12
ORD-2026-000090,2026-01-05,LATAM,Chile,Elara Beauty Labs,SKU-0017,Briselle Body Lotion 200ml Classic,Body Care,216,216,5.91,2026-02-23,2026-02-27,Delivered,Normal,Sea,2026-09-12
ORD-2026-000091,2026-01-05,FRANCE,France,Aster Manufacturing,SKU-0025,Cendora Eau de Parfum 50ml Classic,Fragrance,948,948,32.26,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000092,2026-01-05,IBERIA,Spain,Aster Manufacturing,SKU-0103,Isavelle Eau de Parfum 50ml Intense,Fragrance,48,48,39.76,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000093,2026-01-05,NORTH_AMERICA,United States,Cedar Fragrance Works,SKU-0009,Aureva Fragrance Gift Set 3pc Intense,Gift Set,276,276,64.43,2026-01-30,2026-02-03,Delivered,High,Air,2026-09-12
ORD-2026-000094,2026-01-05,NORTH_AMERICA,United States,Fenn Packaging & Assembly,SKU-0078,Galenza Face Serum 30ml Classic,Skin Care,792,792,15.36,2026-02-16,2026-02-16,Delivered,Normal,Sea,2026-09-12
ORD-2026-000095,2026-01-05,UK_IRELAND,United Kingdom,Fenn Packaging & Assembly,SKU-0012,Aureva Face Serum 30ml Intense,Skin Care,240,240,22.05,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000096,2026-01-05,UK_IRELAND,United Kingdom,Fenn Packaging & Assembly,SKU-0042,Dorevia Face Serum 30ml Classic,Skin Care,60,60,18.69,2026-01-29,2026-01-29,Delivered,High,Road,2026-09-12
ORD-2026-000097,2026-01-05,NORTH_AMERICA,Canada,Fenn Packaging & Assembly,SKU-0060,Elunora Face Serum 30ml Intense,Skin Care,72,72,10.32,2026-02-12,2026-02-25,Delivered,Normal,Sea,2026-09-12
ORD-2026-000098,2026-01-05,NORTH_AMERICA,United States,Aster Manufacturing,SKU-0049,Elunora Eau de Parfum 50ml Classic,Fragrance,108,108,24.15,2026-02-11,2026-02-11,Delivered,Normal,Sea,2026-09-12
ORD-2026-000099,2026-01-05,UK_IRELAND,United Kingdom,Elara Beauty Labs,SKU-0035,Cendora Body Lotion 200ml Intense,Body Care,36,36,5.82,2026-01-26,2026-01-28,Delivered,Normal,Road,2026-09-12
ORD-2026-000100,2026-01-05,MIDDLE_EAST,Saudi Arabia,Elara Beauty Labs,SKU-0029,Cendora Body Lotion 200ml Classic,Body Care,444,444,5.54,2026-02-09,2026-02-11,Delivered,Normal,Sea,2026-09-12
ORD-2026-000101,2026-01-05,NORTH_AMERICA,United States,Cedar Fragrance Works,SKU-0075,Galenza Fragrance Gift Set 3pc Classic,Gift Set,312,312,28.65,2026-02-17,2026-02-16,Delivered,Normal,Sea,2026-09-12
ORD-2026-000102,2026-01-05,DACH,Switzerland,Aster Manufacturing,SKU-0001,Aureva Eau de Parfum 50ml Classic,Fragrance,468,468,26.58,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000103,2026-01-05,FRANCE,France,Dune Personal Care,SKU-0022,Briselle Discovery Set 5x10ml Intense,Gift Set,108,108,15.64,2026-01-27,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000104,2026-01-05,FRANCE,France,Dune Personal Care,SKU-0010,Aureva Discovery Set 5x10ml Intense,Gift Set,72,72,23.38,2026-01-21,2026-01-19,Delivered,Normal,Road,2026-09-12
ORD-2026-000105,2026-01-05,UK_IRELAND,Ireland,Bellora Cosmetics,SKU-0062,Fiorenne Eau de Toilette 100ml Classic,Fragrance,192,192,40.07,2026-01-27,2026-01-27,Delivered,Normal,Road,2026-09-12
ORD-2026-000106,2026-01-05,NORTH_AMERICA,Canada,Elara Beauty Labs,SKU-0029,Cendora Body Lotion 200ml Classic,Body Care,360,360,5.54,2026-01-20,2026-01-26,Delivered,High,Air,2026-09-12
ORD-2026-000107,2026-01-05,DACH,Germany,Dune Personal Care,SKU-0070,Fiorenne Discovery Set 5x10ml Intense,Gift Set,180,180,16.19,2026-01-26,2026-01-26,Delivered,Normal,Road,2026-09-12
ORD-2026-000108,2026-01-05,UK_IRELAND,United Kingdom,Fenn Packaging & Assembly,SKU-0012,Aureva Face Serum 30ml Intense,Skin Care,48,48,22.05,2026-01-27,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000109,2026-01-05,UK_IRELAND,United Kingdom,Fenn Packaging & Assembly,SKU-0078,Galenza Face Serum 30ml Classic,Skin Care,480,480,15.83,2026-01-26,2026-01-29,Delivered,Normal,Road,2026-09-12
ORD-2026-000110,2026-01-05,IBERIA,Portugal,Bellora Cosmetics,SKU-0104,Isavelle Eau de Toilette 100ml Intense,Fragrance,132,132,37.17,2026-01-26,2026-01-29,Delivered,Normal,Road,2026-09-12
ORD-2026-000111,2026-01-05,IBERIA,Spain,Cedar Fragrance Works,SKU-0021,Briselle Fragrance Gift Set 3pc Intense,Gift Set,168,168,41.15,2026-01-30,2026-01-27,Delivered,High,Road,2026-09-12
ORD-2026-000112,2026-01-05,ITALY,Italy,Bellora Cosmetics,SKU-0056,Elunora Eau de Toilette 100ml Intense,Fragrance,48,48,28.64,2026-01-23,2026-01-22,Delivered,Normal,Road,2026-09-12
ORD-2026-000113,2026-01-05,DACH,Germany,Cedar Fragrance Works,SKU-0015,Briselle Fragrance Gift Set 3pc Classic,Gift Set,276,276,68.05,2026-02-02,2026-02-12,Delivered,Normal,Road,2026-09-12
ORD-2026-000114,2026-01-05,NORTH_AMERICA,United States,Elara Beauty Labs,SKU-0047,Dorevia Body Lotion 200ml Intense,Body Care,132,132,4.50,2026-01-23,2026-01-22,Delivered,High,Air,2026-09-12
ORD-2026-000115,2026-01-05,NORTH_AMERICA,United States,Dune Personal Care,SKU-0106,Isavelle Discovery Set 5x10ml Intense,Gift Set,252,252,26.97,2026-02-16,2026-02-23,Delivered,Normal,Sea,2026-09-12
ORD-2026-000116,2026-01-05,IBERIA,Portugal,Dune Personal Care,SKU-0076,Galenza Discovery Set 5x10ml Classic,Gift Set,528,528,14.97,2026-01-27,2026-02-04,Delivered,Normal,Road,2026-09-12
ORD-2026-000117,2026-01-05,NORTH_AMERICA,United States,Elara Beauty Labs,SKU-0101,Isavelle Body Lotion 200ml Classic,Body Care,204,204,12.19,2026-02-16,2026-02-16,Delivered,Normal,Sea,2026-09-12
ORD-2026-000118,2026-01-05,NORTH_AMERICA,United States,Aster Manufacturing,SKU-0013,Briselle Eau de Parfum 50ml Classic,Fragrance,228,228,24.50,2026-02-16,2026-02-23,Delivered,Normal,Sea,2026-09-12
ORD-2026-000119,2026-01-05,IBERIA,Spain,Cedar Fragrance Works,SKU-0033,Cendora Fragrance Gift Set 3pc Intense,Gift Set,156,156,68.78,2026-01-30,2026-02-02,Delivered,Normal,Road,2026-09-12
ORD-2026-000120,2026-01-05,FRANCE,France,Dune Personal Care,SKU-0022,Briselle Discovery Set 5x10ml Intense,Gift Set,72,72,15.64,2026-02-02,2026-02-06,Delivered,Normal,Road,2026-09-12
ORD-2026-000121,2026-01-05,DACH,Germany,Elara Beauty Labs,SKU-0089,Heloria Body Lotion 200ml Classic,Body Care,132,132,9.18,2026-01-22,2026-01-22,Delivered,Normal,Road,2026-09-12
